yield_per_colony,productions,stocks,average_price,value_of_prod,avg_temp,precipitation,Alabama,Arizona,Arkansas,California,Colorado,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,NewJersey,NewMexico,NewYork,NorthCarolina,NorthDakota,Ohio,Oregon,Pennsylvania,SouthCarolina,SouthDakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,WestVirginia,Wisconsin,Wyoming
0.2967032967032967,0.004698451821612878,0.004698451821612878,0.2734107292251624,0.011097690771456932,0.6977401129943503,0.6523763648041103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2527472527472528,0.003928213818069784,0.003928213818069784,0.2860171676770918,0.010667176905322826,0.7288135593220337,0.7088953114964675,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2967032967032967,0.004082261418778403,0.004082261418778403,0.28143300824002654,0.009913777639588143,0.7598870056497176,0.7517662170841362,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2747252747252748,0.0033120234152353074,0.0033120234152353074,0.32498252289214613,0.009555016084476389,0.6949152542372881,0.9335260115606936,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.28571428571428575,0.0010783332049603329,0.0010783332049603329,0.40291323332225487,0.012819746235993352,0.6779661016949152,0.7943159922928709,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.21978021978021983,7.702380035430959e-05,7.702380035430959e-05,0.4372944291002441,0.012221810310807095,0.7514124293785307,0.879897238278741,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2747252747252748,0.0016174998074404991,0.0016174998074404991,0.3937449144481245,0.012173975436792195,0.7711864406779658,0.6173731535003211,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.19780219780219782,0.0007702380035430948,0.0007702380035430948,0.32842064246994507,0.00800038267899212,0.7627118644067796,0.9253371868978804,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.19780219780219782,0.00015404760070861895,0.00015404760070861895,0.002624431277719839,0.009160378373853459,0.7485875706214689,0.928709055876686,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16483516483516486,0.0024647616113379033,0.0024647616113379033,0.002234777725569295,0.009040791188816207,0.7740112994350283,0.7986512524084777,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
